Entry ID,Date,Source Report,Finding Category,Finding Description,Risk Level,Status,ISO 27001:2022 Control,Recommended Action,Evidence Location,Owner
SEC-20260531-001,2026-05-31 16:12:00,hardening_audit_v2_20260531_161200.md,SSH/Host Hardening,"[SSH Protocol] Protocol not reported (modern default is 2, acceptable).",LOW,Open,A.8.5 (Secure authentication),"Remediate SSH Protocol: Protocol not reported (modern default is 2, acceptable).. Apply via sshd_config.d or UFW.",reports/hardening_audit_v2_20260531_161200.md,Cloud Security Engineer
SEC-20260531-002,2026-05-31 16:33:23,network_scan_20260531_163323.md,Network Exposure,Port 631/tcp (ipp/cupsd): Listening with NO explicit firewall rule. Vulnerable to default-policy bypass.,HIGH,Open,"A.8.20, A.8.21",Review service cupsd on 631/tcp. Add explicit UFW rule or bind to localhost.,reports/network_scan_20260531_163323.md,Cloud Security Engineer
